           freq              Su              Sv              Sw
       0.000556        3.471373        1.202047        0.158030
       0.001111        3.478320        1.218302        0.158353
       0.001667        3.485028        1.221298        0.155908
       0.002222        3.517916        1.218437        0.154359
       0.002778        3.552782        1.199019        0.155105
       0.003333        3.545632        1.159546        0.155194
       0.003889        3.525373        1.130423        0.154136
       0.004444        3.500392        1.123989        0.152350
       0.005000        3.479581        1.124218        0.151250
       0.005556        3.474382        1.120781        0.150392
       0.006111        3.490981        1.110911        0.149627
       0.006667        3.496874        1.101423        0.150792
       0.007222        3.484712        1.090389        0.152446
       0.007778        3.479095        1.085347        0.151459
       0.008333        3.484028        1.090828        0.150041
       0.008889        3.483630        1.099305        0.149040
       0.009444        3.438572        1.112333        0.148288
       0.010000        3.361655        1.124280        0.148268
       0.010556        3.307210        1.128699        0.147367
       0.011111        3.298579        1.127045        0.144985
       0.011667        3.283832        1.121628        0.143208
       0.012222        3.271873        1.107048        0.143826
       0.012778        3.262646        1.099598        0.145481
       0.013333        3.228641        1.109710        0.147253
       0.013889        3.219899        1.115507        0.148568
       0.014444        3.217864        1.103183        0.150514
       0.015000        3.158112        1.081270        0.151696
       0.015556        3.064001        1.074714        0.151473
       0.016111        3.046940        1.074375        0.154065
       0.016667        3.070186        1.062530        0.153626
       0.017222        3.031844        1.043743        0.148222
       0.017778        3.007374        1.017250        0.146252
       0.018333        2.999466        1.000209        0.147479
       0.018889        2.980647        1.001600        0.147522
       0.019444        2.914936        0.993255        0.146370
       0.020000        2.776268        0.980296        0.144593
       0.020556        2.608416        0.978074        0.143141
       0.021111        2.494174        0.976605        0.142268
       0.021667        2.472634        0.976318        0.141489
       0.022222        2.496586        0.974079        0.143484
       0.022778        2.517373        0.975078        0.145492
       0.023333        2.514690        0.977161        0.146340
       0.023889        2.514141        0.975987        0.148388
       0.024444        2.519863        0.981396        0.149905
       0.025000        2.526220        0.988026        0.150968
       0.025556        2.527026        0.990176        0.151797
       0.026111        2.524866        0.993709        0.152224
       0.026667        2.520128        0.996740        0.152746
       0.027222        2.511639        0.998702        0.153439
       0.027778        2.501144        0.996128        0.153879
       0.028333        2.502352        0.994104        0.154137
       0.028889        2.485793        0.994129        0.154835
       0.029444        2.384765        0.992114        0.157313
       0.030000        2.234289        0.995205        0.158910
       0.030556        2.106251        0.995020        0.157919
       0.031111        2.042443        0.994967        0.156573
       0.031667        2.023032        0.996100        0.155278
       0.032222        2.009411        0.982141        0.156905
       0.032778        1.987155        0.959785        0.157843
       0.033333        1.955848        0.941653        0.152685
       0.033889        1.949521        0.925686        0.149907
       0.034444        1.909915        0.917147        0.152879
       0.035000        1.816188        0.906044        0.155467
       0.035556        1.752532        0.879675        0.156299
       0.036111        1.738413        0.863637        0.156517
       0.036667        1.716150        0.867062        0.157846
       0.037222        1.674219        0.873173        0.159363
       0.037778        1.651394        0.867993        0.160207
       0.038333        1.628185        0.850952        0.158833
       0.038889        1.601980        0.836767        0.155853
       0.039444        1.577115        0.830297        0.153852
       0.040000        1.516841        0.827897        0.152766
       0.040556        1.442956        0.830629        0.152402
       0.041111        1.399749        0.834379        0.152010
       0.041667        1.382102        0.834066        0.151858
       0.042222        1.367894        0.824173        0.150720
       0.042778        1.359390        0.809368        0.149749
       0.043333        1.341008        0.797997        0.150457
       0.043889        1.312090        0.784571        0.151319
       0.044444        1.308040        0.772223        0.151156
       0.045000        1.311395        0.770728        0.149444
       0.045556        1.283850        0.771138        0.148313
       0.046111        1.250649        0.766160        0.147811
       0.046667        1.226703        0.741303        0.149009
       0.046985        1.215251        0.715392        0.149703
       0.047747        1.194613        0.658375        0.152543
       0.048522        1.181414        0.654346        0.155034
       0.049309        1.180804        0.641069        0.156137
       0.050109        1.170689        0.622534        0.158387
       0.050922        1.154988        0.585295        0.158910
       0.051748        1.144445        0.569066        0.159058
       0.052588        1.085119        0.564846        0.159085
       0.053441        1.057191        0.553692        0.159026
       0.054308        1.047010        0.556614        0.159830
       0.055189        1.028383        0.554747        0.158901
       0.056085        1.005169        0.556755        0.160327
       0.056995        0.972905        0.553833        0.159621
       0.057919        0.999544        0.535373        0.157791
       0.058859        0.985613        0.518790        0.156106
       0.059814        0.991179        0.504714        0.158810
       0.060784        0.992643        0.489542        0.161556
       0.061771        0.985848        0.471263        0.161110
       0.062773        0.965394        0.465284        0.159283
       0.063791        0.950763        0.455654        0.157026
       0.064826        0.940744        0.445078        0.153402
       0.065878        0.925563        0.437267        0.151527
       0.066947        0.867422        0.424917        0.146668
       0.068033        0.834286        0.424918        0.146562
       0.069137        0.823293        0.422852        0.146023
       0.070259        0.814132        0.424675        0.146302
       0.071399        0.809402        0.419947        0.148327
