yyyy  mm  dd  HH MIN   SEC          u          v          w          T
2008   5   9   5   0  0.00    3.08901    0.14612   -0.09013  288.37898
2008   5   9   5   0  0.10    3.08797    0.01707   -0.29740  288.06900
2008   5   9   5   0  0.20    3.41507    0.15263    0.23851  288.03202
2008   5   9   5   0  0.30    3.19342   -0.05260    0.68276  288.10404
2008   5   9   5   0  0.40    3.11312   -0.26749    0.07672  288.40105
2008   5   9   5   0  0.50    3.05140   -0.29851    0.05359  288.50907
2008   5   9   5   0  0.60    3.07432   -0.26064    0.10326  288.48909
2008   5   9   5   0  0.70    3.05305   -0.26761   -0.26505  288.47911
2008   5   9   5   0  0.80    2.80072   -0.42207   -0.13558  288.46313
2008   5   9   5   0  0.90    2.77838   -0.42847   -0.10617  288.45915
2008   5   9   5   0  1.00    2.94210   -0.52091   -0.24546  288.39217
2008   5   9   5   0  1.10    2.86180   -0.52941   -0.25531  288.39019
2008   5   9   5   0  1.20    2.68061   -0.16406   -0.32616  288.38521
2008   5   9   5   0  1.30    2.61281   -0.11343   -0.24526  288.40923
2008   5   9   5   0  1.40    2.64603   -0.11372   -0.23225  288.40725
2008   5   9   5   0  1.50    2.60964    0.05384   -0.29506  288.38827
2008   5   9   5   0  1.60    2.50722   -0.04791   -0.63220  288.35529
2008   5   9   5   0  1.70    2.29368   -0.09927   -0.65382  288.14031
2008   5   9   5   0  1.80    2.24737   -0.37120   -0.68362  288.12333
2008   5   9   5   0  1.90    2.54597   -0.40656   -0.22813  288.05635
2008   5   9   5   0  2.00    2.67357   -0.08497    0.13449  288.19537
2008   5   9   5   0  2.10    2.67767    0.43826    0.38275  288.00238
2008   5   9   5   0  2.20    2.28514    0.74851    0.63378  287.96940
2008   5   9   5   0  2.30    2.45035    0.90946    0.37217  287.90442
2008   5   9   5   0  2.40    2.39746    0.80879    0.02746  287.90744
2008   5   9   5   0  2.50    2.43067    0.81521    0.16498  287.85946
2008   5   9   5   0  2.60    2.59000    0.69225   -0.01091  288.01148
2008   5   9   5   0  2.70    2.74620    0.24623   -0.05860  288.04150
2008   5   9   5   0  2.80    2.88484   -0.00522   -0.35010  288.29952
2008   5   9   5   0  2.90    2.89620   -0.17098   -0.13629  288.29253
2008   5   9   5   0  3.00    2.96506    0.17724   -0.13593  288.34055
2008   5   9   5   0  3.10    3.12917    0.18326   -0.28620  288.46157
2008   5   9   5   0  3.20    2.78232    0.19536   -0.05811  288.26459
2008   5   9   5   0  3.30    2.75066    0.32069   -0.16417  288.37261
2008   5   9   5   0  3.40    2.48399    0.34172   -0.23385  288.45963
2008   5   9   5   0  3.50    2.36650    0.31553    0.10513  288.35564
2008   5   9   5   0  3.60    2.15965   -0.04303    0.40647  288.15666
