  year  month    day   time    Ta002     U010   ust005      wT005
  2008      5      5   0.25    12.67     3.60    0.198    -0.0340
  2008      5      5   0.75    12.50     3.32    0.198    -0.0371
  2008      5      5   1.25    12.03     3.46    0.174    -0.0286
  2008      5      5   1.75    11.87     3.86    0.228    -0.0392
  2008      5      5   2.25    11.53     4.36    0.256    -0.0407
  2008      5      5   2.75    11.00     4.23    0.286    -0.0402
  2008      5      5   3.25    10.43     3.76    0.254    -0.0356
  2008      5      5   3.75    10.00     3.61    0.199    -0.0315
  2008      5      5   4.25     9.73     3.17    0.209    -0.0289
  2008      5      5   4.75     9.97     3.08    0.205    -0.0233
  2008      5      5   5.25    10.83     3.47    0.227    -0.0120
  2008      5      5   5.75    11.97     3.52    0.250    -0.0013
  2008      5      5   6.25    12.80     4.03    0.221     0.0098
  2008      5      5   6.75    13.33     4.20    0.287     0.0228
  2008      5      5   7.25    14.23     4.39    0.313     0.0413
  2008      5      5   7.75    15.13     4.50    0.306     0.0400
  2008      5      5   8.25    15.97     4.42    0.285     0.0477
  2008      5      5   8.75    16.73     4.20    0.267     0.0612
  2008      5      5   9.25    17.27     4.58    0.307     0.0811
  2008      5      5   9.75    17.77     5.50    0.339     0.0689
  2008      5      5  10.25    18.23     5.40    0.363     0.0801
  2008      5      5  10.75    18.60     5.13    0.349     0.0890
  2008      5      5  11.25    18.90     4.85    0.295     0.0805
  2008      5      5  11.75    19.30     5.28    0.368     0.0920
  2008      5      5  12.25    19.33     5.42    0.396     0.0874
  2008      5      5  12.75    19.60     6.34    0.396     0.0742
  2008      5      5  13.25    20.03     5.10    0.366     0.0713
  2008      5      5  13.75    20.23     5.66    0.327     0.0674
  2008      5      5  14.25    20.53     4.93    0.327     0.0496
  2008      5      5  14.75    20.60     4.95    0.337     0.0513
  2008      5      5  15.25    20.57     4.78    0.296     0.0373
  2008      5      5  15.75    20.50     4.76    0.301     0.0259
  2008      5      5  16.25    20.30     4.78    0.307     0.0077
  2008      5      5  16.75    20.17     3.90    0.288    -0.0057
  2008      5      5  17.25    19.87     3.50    0.231    -0.0173
  2008      5      5  17.75    19.47     2.98    0.196    -0.0215
  2008      5      5  18.25    18.77     2.48    0.127    -0.0178
  2008      5      5  18.75    18.03     2.00    0.057    -0.0148
  2008      5      5  19.25    16.87     2.22    0.066    -0.0144
  2008      5      5  19.75    16.20     2.31    0.055    -0.0097
  2008      5      5  20.25    15.83     2.66    0.097    -0.0180
  2008      5      5  20.75    15.73     2.96    0.134    -0.0304
  2008      5      5  21.25    15.27     3.25    0.158    -0.0346
  2008      5      5  21.75    15.30     3.16    0.175    -0.0361
  2008      5      5  22.25    15.43     3.62    0.224    -0.0435
  2008      5      5  22.75    15.27     3.45    0.253    -0.0463
  2008      5      5  23.25    14.90     3.57    0.203    -0.0369
  2008      5      5  23.75    14.57     3.42    0.204    -0.0333
  2008      5      6   0.25    14.27     3.70    0.238    -0.0361
  2008      5      6   0.75    13.80     3.53    0.230    -0.0338
  2008      5      6   1.25    13.37     3.33    0.219    -0.0339
  2008      5      6   1.75    12.83     3.11    0.169    -0.0227
  2008      5      6   2.25    12.33     2.91    0.154    -0.0219
  2008      5      6   2.75    11.43     2.81    0.115    -0.0159
  2008      5      6   3.25    10.83     2.87    0.098    -0.0154
  2008      5      6   3.75    10.87     2.85    0.121    -0.0153
  2008      5      6   4.25    11.00     2.62    0.119    -0.0151
  2008      5      6   4.75    11.20     2.84    0.152    -0.0157
  2008      5      6   5.25    12.03     2.75    0.150    -0.0075
  2008      5      6   5.75    13.20     3.17    0.170    -0.0016
  2008      5      6   6.25    14.23     3.17    0.249     0.0129
  2008      5      6   6.75    15.07     3.28    0.245     0.0240
  2008      5      6   7.25    15.87     3.59    0.254     0.0306
  2008      5      6   7.75    16.97     3.39    0.244     0.0483
  2008      5      6   8.25    17.87     3.73    0.238     0.0661
  2008      5      6   8.75    18.73     3.66    0.273     0.0657
  2008      5      6   9.25    19.47     4.02    0.280     0.0748
  2008      5      6   9.75    20.17     4.58    0.326     0.0694
  2008      5      6  10.25    20.47     5.71    0.360     0.0832
  2008      5      6  10.75    20.87     5.48    0.375     0.0763
  2008      5      6  11.25    21.27     5.46    0.348     0.0813
  2008      5      6  11.75    21.60     6.02    0.406     0.0845
  2008      5      6  12.25    21.87     5.65    0.372     0.0833
  2008      5      6  12.75    22.13     5.17    0.357     0.0877
  2008      5      6  13.25    22.23     5.05    0.353     0.0793
  2008      5      6  13.75    22.37     5.29    0.385     0.0752
  2008      5      6  14.25    22.53     5.01    0.326     0.0612
  2008      5      6  14.75    22.63     4.81    0.325     0.0431
  2008      5      6  15.25    22.60     4.98    0.345     0.0274
  2008      5      6  15.75    22.47     4.68    0.258     0.0208
  2008      5      6  16.25    22.43     4.07    0.248     0.0021
  2008      5      6  16.75    22.23     4.15    0.280    -0.0105
  2008      5      6  17.25    21.90     3.80    0.238    -0.0167
  2008      5      6  17.75    21.47     3.10    0.191    -0.0227
  2008      5      6  18.25    20.93     3.46    0.215    -0.0337
  2008      5      6  18.75    20.07     3.18    0.181    -0.0318
  2008      5      6  19.25    19.20     3.10    0.203    -0.0436
  2008      5      6  19.75    18.47     3.23    0.190    -0.0357
  2008      5      6  20.25    17.87     3.11    0.173    -0.0309
  2008      5      6  20.75    17.33     2.88    0.173    -0.0312
  2008      5      6  21.25    16.67     3.26    0.185    -0.0336
  2008      5      6  21.75    16.23     3.06    0.166    -0.0329
  2008      5      6  22.25    16.07     3.04    0.183    -0.0350
  2008      5      6  22.75    15.53     2.83    0.190    -0.0365
  2008      5      6  23.25    14.70     3.10    0.204    -0.0331
  2008      5      6  23.75    13.90     2.88    0.167    -0.0284
  2008      5      7   0.25    13.50     3.11    0.174    -0.0283
  2008      5      7   0.75    13.03     3.72    0.211    -0.0306
  2008      5      7   1.25    12.73     3.78    0.188    -0.0273
  2008      5      7   1.75    12.23     3.54    0.217    -0.0280
  2008      5      7   2.25    11.93     3.56    0.218    -0.0297
  2008      5      7   2.75    11.63     3.40    0.202    -0.0250
  2008      5      7   3.25    11.43     3.18    0.156    -0.0228
  2008      5      7   3.75    11.23     3.24    0.170    -0.0241
  2008      5      7   4.25    11.53     3.01    0.135    -0.0195
  2008      5      7   4.75    11.90     2.91    0.126    -0.0130
  2008      5      7   5.25    12.40     2.72    0.192    -0.0128
  2008      5      7   5.75    13.13     2.98    0.220    -0.0024
  2008      5      7   6.25    14.10     3.02    0.198     0.0111
  2008      5      7   6.75    15.23     2.88    0.199     0.0284
  2008      5      7   7.25    16.23     3.47      NaN        NaN
  2008      5      7   7.75    17.07     3.58    0.274     0.0492
  2008      5      7   8.25    17.87     3.69    0.269     0.0577
  2008      5      7   8.75    18.93     3.37    0.198     0.0671
  2008      5      7   9.25    19.83     3.13    0.206     0.0848
  2008      5      7   9.75    20.60     3.40    0.233     0.0872
  2008      5      7  10.25    21.27     3.35    0.231     0.0898
  2008      5      7  10.75    22.07     4.23    0.302     0.0911
  2008      5      7  11.25    22.47     4.40    0.331     0.0925
  2008      5      7  11.75    22.80     3.97    0.271     0.0889
  2008      5      7  12.25    22.97     3.77    0.211     0.0944
  2008      5      7  12.75    23.13     3.63    0.207     0.0831
  2008      5      7  13.25    23.33     3.41    0.247     0.0920
  2008      5      7  13.75    23.40     4.03    0.215     0.0596
  2008      5      7  14.25    23.53     3.08      NaN     0.0610
  2008      5      7  14.75    23.47     3.31    0.220     0.0583
  2008      5      7  15.25    23.47     3.46    0.255     0.0370
  2008      5      7  15.75    23.43     3.00    0.225     0.0229
  2008      5      7  16.25    23.37     2.67    0.185     0.0135
  2008      5      7  16.75    23.13     2.89    0.167    -0.0020
  2008      5      7  17.25    22.63     2.59    0.161    -0.0117
  2008      5      7  17.75    22.03     2.44    0.125    -0.0128
  2008      5      7  18.25    21.20     2.11    0.099    -0.0110
  2008      5      7  18.75    20.73     1.93    0.073    -0.0090
  2008      5      7  19.25    19.87     2.05    0.087    -0.0133
  2008      5      7  19.75    19.10     2.29    0.083    -0.0134
  2008      5      7  20.25    18.47     2.14    0.085    -0.0096
  2008      5      7  20.75    17.77     2.22    0.078    -0.0117
  2008      5      7  21.25    17.23     2.38    0.095    -0.0143
  2008      5      7  21.75    16.83     2.47    0.075    -0.0093
  2008      5      7  22.25    16.40     2.29    0.096    -0.0156
  2008      5      7  22.75    16.10     2.57    0.104    -0.0122
  2008      5      7  23.25    15.77     2.34    0.108    -0.0256
  2008      5      7  23.75    14.47     2.46    0.098    -0.0130
  2008      5      8   0.25    14.17     2.64    0.141    -0.0221
  2008      5      8   0.75    13.70     3.03    0.156    -0.0239
  2008      5      8   1.25    13.57     2.58    0.142    -0.0209
  2008      5      8   1.75    13.53     2.57    0.128    -0.0192
  2008      5      8   2.25    13.37     2.95    0.137    -0.0216
  2008      5      8   2.75    12.93     3.11    0.187    -0.0228
  2008      5      8   3.25    12.63     3.03    0.159    -0.0224
  2008      5      8   3.75    12.40     3.05    0.171    -0.0229
  2008      5      8   4.25    11.97     3.00    0.185    -0.0241
  2008      5      8   4.75    12.10     2.81    0.161    -0.0159
  2008      5      8   5.25    12.90     3.33    0.201    -0.0114
  2008      5      8   5.75    13.97     4.04    0.245    -0.0039
  2008      5      8   6.25    14.80     4.61    0.284     0.0119
  2008      5      8   6.75    15.83     3.80    0.246     0.0200
  2008      5      8   7.25    16.97     3.79    0.268     0.0388
  2008      5      8   7.75    18.23     3.71    0.258     0.0485
  2008      5      8   8.25    19.30     3.86    0.270     0.0561
  2008      5      8   8.75    20.43     3.40    0.264     0.0681
